"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 07:28:50 GMT 2024","Thu Jun 06 07:28:51 GMT 2024","800","tests","test_edit","","","","test_autocomplete",""
"passed","Thu Jun 06 07:28:46 GMT 2024","Thu Jun 06 07:28:47 GMT 2024","733","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Thu Jun 06 07:28:47 GMT 2024","Thu Jun 06 07:28:48 GMT 2024","325","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Thu Jun 06 07:29:06 GMT 2024","Thu Jun 06 07:29:06 GMT 2024","681","tests","test_login","","","","test_failed_login",""
"passed","Thu Jun 06 07:28:47 GMT 2024","Thu Jun 06 07:28:47 GMT 2024","21","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"broken","Thu Jun 06 07:28:52 GMT 2024","Thu Jun 06 07:29:03 GMT 2024","11041","tests","test_edit","","","","test_edit",""
"broken","Thu Jun 06 07:29:03 GMT 2024","Thu Jun 06 07:29:03 GMT 2024","0","tests","test_home","","","","test_successful_login",""
"passed","Thu Jun 06 07:28:48 GMT 2024","Thu Jun 06 07:28:48 GMT 2024","322","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Thu Jun 06 07:29:04 GMT 2024","Thu Jun 06 07:29:05 GMT 2024","681","tests","test_login","","","","test_successful_login",""
